Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3,0,0,255,255,255
250,3,0,0.0474,255,255,255
500,3,0,0.2195,255,255,255
750,3,0,0.5,255,255,255
1000,3,0,0.8703,255,255,255
1250,3,0,1.3121,255,255,255
1500,3,0,1.8086,255,255,255
1750,3,0,2.3448,255,255,255
2000,3,0,2.9028,255,255,255
2250,3,0,3.4646,255,255,255
2500,3,0,4.0122,255,255,255
2750,3,0,4.5274,255,255,255
3000,3,0,4.9924,255,255,255
3250,3,0,5.3892,255,255,255
3500,3,0,5.6996,255,255,255
3750,2.9999,-0.0001,5.9017,255,255,255
4000,3.0002,0.0007,6.0014,255,255,255
4250,3.0018,0.0042,6.0365,255,255,255
4500,3.0055,0.012,6.0452,255,255,255
4750,3.0125,0.0259,6.0657,255,255,255
5000,3.0229,0.0469,6.1183,255,255,255
5250,3.0363,0.0737,6.1866,255,255,255
5500,3.0525,0.1064,6.2698,255,255,255
5750,3.0714,0.1448,6.3675,255,255,255
6000,3.0929,0.1888,6.4794,255,255,255
6250,3.1169,0.2383,6.6051,255,255,255
6500,3.1433,0.2932,6.7443,255,255,255
6750,3.1722,0.3534,6.8966,255,255,255
7000,3.2036,0.4186,7.0618,255,255,255
7250,3.2375,0.4887,7.2394,255,255,255
7500,3.2738,0.5635,7.4291,255,255,255
7750,3.3125,0.6429,7.6306,255,255,255
8000,3.3534,0.7268,7.8436,255,255,255
8250,3.3965,0.815,8.0676,255,255,255
8500,3.4416,0.9075,8.3024,255,255,255
8750,3.4889,1.004,8.5476,255,255,255
9000,3.5381,1.1045,8.8028,255,255,255
9250,3.5891,1.2087,9.0677,255,255,255
9500,3.642,1.3167,9.342,255,255,255
9750,3.6966,1.4282,9.6252,255,255,255
10000,3.7529,1.5431,9.9172,255,255,255
10250,3.8107,1.6614,10.2174,255,255,255
10500,3.8701,1.7827,10.5256,255,255,255
10750,3.9309,1.9071,10.8415,255,255,255
11000,3.993,2.0344,11.1646,255,255,255
11250,4.0564,2.1644,11.4946,255,255,255
11500,4.1211,2.297,11.8313,255,255,255
11750,4.1868,2.4322,12.1741,255,255,255
12000,4.2537,2.5697,12.5229,255,255,255
12250,4.3215,2.7094,12.8772,255,255,255
12500,4.3904,2.8511,13.2367,255,255,255
12750,4.4602,2.9948,13.6011,255,255,255
13000,4.5309,3.1403,13.9701,255,255,255
13250,4.6024,3.2873,14.3432,255,255,255
13500,4.6747,3.4359,14.7202,255,255,255
13750,4.7477,3.5859,15.1007,255,255,255
14000,4.8213,3.7371,15.4844,255,255,255
14250,4.8954,3.8894,15.8709,255,255,255
14500,4.97,4.0427,16.2599,255,255,255
14750,5.0451,4.1968,16.651,255,255,255
15000,5.1205,4.3516,17.0439,255,255,255
15250,5.1961,4.507,17.4382,255,255,255
15500,5.272,4.6628,17.8337,255,255,255
15750,5.3481,4.8189,18.2299,255,255,255
16000,5.4242,4.9751,18.6265,255,255,255
16250,5.5004,5.1313,19.0231,255,255,255
16500,5.5765,5.2875,19.4195,255,255,255
16750,5.6525,5.4434,19.8152,255,255,255
17000,5.7283,5.5988,20.21,255,255,255
17250,5.8039,5.7538,20.6035,255,255,255
17500,5.8792,5.9081,20.9953,255,255,255
17750,5.9541,6.0616,21.3851,255,255,255
18000,6.0285,6.2142,21.7725,255,255,255
18250,6.1025,6.3657,22.1573,255,255,255
18500,6.1758,6.516,22.539,255,255,255
18750,6.2485,6.665,22.9173,255,255,255
19000,6.3205,6.8125,23.2919,255,255,255
19250,6.3918,6.9584,23.6624,255,255,255
19500,6.4621,7.1026,24.0286,255,255,255
19750,6.5316,7.2449,24.3899,255,255,255
20000,6.6001,7.3851,24.7462,255,255,255
20250,6.6675,7.5233,25.097,255,255,255
20500,6.7339,7.6591,25.442,255,255,255
20750,6.799,7.7925,25.7809,255,255,255
21000,6.863,7.9234,26.1132,255,255,255
21250,6.9256,8.0515,26.4388,255,255,255
21500,6.9868,8.1769,26.7572,255,255,255
21750,7.0466,8.2992,27.068,255,255,255
22000,7.1049,8.4185,27.3711,255,255,255
22250,7.1616,8.5346,27.6658,255,255,255
22500,7.2166,8.6473,27.9521,255,255,255
22750,7.27,8.7564,28.2294,255,255,255
23000,7.3216,8.862,28.4976,255,255,255
23250,7.3713,8.9637,28.7561,255,255,255
23500,7.4191,9.0616,29.0047,255,255,255
23750,7.465,9.1554,29.243,255,255,255
24000,7.5088,9.245,29.4707,255,255,255
24250,7.5505,9.3303,29.6875,255,255,255
24500,7.5901,9.4112,29.8929,255,255,255
24750,7.6273,9.4875,30.0867,255,255,255
25000,7.6623,9.559,30.2685,255,255,255
25250,7.6949,9.6257,30.4379,255,255,255
25500,7.7251,9.6874,30.5947,255,255,255
